document_id,document_name,type,folder_id,path,level
361,Image map hot spots example,2,360,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Editor/Image maps/Examples,6
392,Create user,0,391,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Create user,6
393,Import users from file,0,391,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Create user,6
394,Manage users from CSV file,0,391,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Create user,6
396,Change user password,0,395,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Manage user,6
397,Delete user,0,395,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Manage user,6
398,Add users to a role,0,395,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Manage user,6
399,Copy user to another role,0,395,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Manage user,6
400,Remove user from role,0,395,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Manage user,6
401,Export users to CSV file,0,395,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Manage user,6
402,Search for a user,0,395,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Manage user,6
404,Maintain user properties,0,403,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Manage user properties,6
405,View a user's role membership,0,403,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Manage user properties,6
406,Maintain role/user notifications,0,403,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Users & roles view/Users/Manage user properties,6
241,Generate document folder statistics,0,309,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view/Document folders,7
261,View document history,0,311,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view/Documents,7
262,Compare document versions,0,311,Home/SupportPoint 8.2 Help/SupportPoint 8.2 Author/Documents view/Translations/Documents view/Documents,7
